Fabric code,Inward Date,Priority,Priority.1,MIGO NO,MIGO Date,Security inward no,Security inward date,LR no.,LR Date,Transporter Name,Inv numb,Invoice Date,Invoice-No. of Rolls,Invoice Qty,Supplier Name ,Fabric Composition,GC / Non GC,PO Number,DA NO,Product,Brand,Sub Brand,UOM,Knit/Woven,FDR-Qty,FDR-NO,Wip Status,Inspection Date,Name of inspector,Inspection Report no.,Inspected roll,Fabric Quantity (Inspected),Inspection Result,PO Width,Avg WIDTH,% Between ActWidth vs PO Width,No of Shade Group,CSV Observation,Lab Test Status,GRN Qty,GRN No.,GRN Date,GRN lead time,Total Fabric Quantity Under FRA,FRA No.,Fra Raised Date,FRA Closure Date,FRA Closure Lead Time,Reason for Delay in GRN,Fabric Quantity (FRA With EC),% EC Approved,Approved By (FRA With EC),Fabric Quantity - RTS,Farbic RTS Date ,RTS Doc no.,RTS LR no.,Sourcing Person ,Date of Invoice Submission to Parking Team ,Type of fabric,REMARKS,GIR,PO ISSUES
F322AHSH2728,2025-04-02,,,5005714023.0,2025-04-02,75 / 02.04.2025,2025-04-02,883663,2025-03-27 00:00:00,FLYWING CARGO,41345815,2025-03-26 00:00:00,14.0,952.0,RAYMOND LUXURY COTTONS ,,GC,3310050247,ABFRL,SHIRT FABRIC,ASWW,AH,M,Woven,,,GRN Done,2025-04-04 00:00:00,Kamala,9055.0,3.0,438.0,Reject,,142.0,,,,Pass,952.0,,2025-04-05,3,,,,,,Within TPT,,,,,,,,,2025-04-07 00:00:00,Plain,,0.0,
F325SCSH7864,2025-04-02,,,5005713049.0,2025-04-02,67 / 02.04.2025,2025-04-02,903970,2025-03-26 00:00:00,FLYWING CARGO,KA/24-25/3576,2025-03-26 00:00:00,3.0,340.5,KRISHNA ALKALI(BOMBAY)PVT.LTD.,,NON GC,3310052583,ABFRL,SHIRT FABRIC,HOSC,SC,M,Woven,,,GRN Done,2025-04-03 00:00:00,Bikram ,9134.0,2.0,164.0,Reject,,149.0,,3.0,,Pass,340.5,,2025-04-05,3,340.5,200007705,2025-04-04,2025-04-05,,FRA within TPT ,,,,,,,,Jay chandra,2025-04-07 00:00:00,Print,,0.0,
F325SCSH7860,2025-04-02,,,5005713181.0,2025-04-02,76 / 02.04.2025,2025-04-02,903971,2025-03-26 00:00:00,FLYWING CARGO,KA/24-25/3575,2025-03-26 00:00:00,3.0,389.5,KRISHNA ALKALI(BOMBAY)PVT.LTD.,,NON GC,3310052586,ABFRL,SHIRT FABRIC,HOSC,SC,M,Woven,,,GRN Done,2025-04-03 00:00:00,Bikram ,9133.0,2.0,87.0,Pass,,150.0,,1.0,,Pass,389.5,,2025-04-08,6,389.5,400004607,2025-04-04,2025-04-08,,FDR within TPT,,,,,,,,Jay chandra,2025-04-09 00:00:00,Print,,0.0,
F325LRSH1342,2025-04-02,,,5005711528.0,2025-04-02,68 / 02.04.2025,2025-04-02,882301,2025-03-26 00:00:00,FLYWING CARGO,2425/3109,2025-03-26 00:00:00,12.0,1650.0,JAYDEE FABRICS LTD,,NON GC,3310048949,ABFRL,SHIRT FABRIC,HOLP,LR,M,Woven,,,GRN Done,2025-04-04 00:00:00,Rakesh,8464.0,3.0,450.0,Pass,,148.0,,6.0,,Pass,1650.0,,2025-04-07,5,1650.0,200007861,2025-04-05,2025-04-07,,FRA within TPT ,,,,,,,,Vaibhav,2025-04-08 00:00:00,Plain,,0.0,
F325ASSH5000,2025-04-02,,,5005714670.0,2025-04-02,123 / 02.04.2025,2025-04-02,873490,2025-03-24 00:00:00,FLYWING CARGO,PAO240012365,2025-03-24 00:00:00,9.0,958.0,VARDHMAN TEXTILES LTD,,GC,3310059903,ABFRL,SHIRT FABRIC,HOAS,AS,M,Woven,,,GRN Done,2025-04-04 00:00:00,Kamala,9053.0,2.0,249.0,Pass,,147.0,,1.0,,Pass,958.0,,2025-04-05,3,,,,,,Within TPT,,,,,,,,,2025-04-07 00:00:00,Print,,0.0,
F320LRSH5777,2025-04-02,,,5005714635.0,2025-04-02,124 / 02.04.2025,2025-04-02,850824,2025-03-26 00:00:00,FLYWING CARGO,LBF240014029,2025-03-26 00:00:00,8.0,1035.0,VARDHMAN TEXTILES LTD,,GC,3310059907,ABFRL,SHIRT FABRIC,HOLP,LR,M,Woven,,,GRN Done,2025-04-04 00:00:00,Bijay,7966.0,2.0,261.0,Reject,,146.0,,2.0,,Pass,1035.0,,2025-04-10,8,1035.0,200007860/400004783,2025-04-05,2025-04-10,,FRA within TPT ,1021.2,3.0,,,,,,Vaibhav,2025-04-11 00:00:00,Plain,,0.0,Qty amend
F322ASSH1803,2025-04-02,,,5005714674.0,2025-04-02,122 / 02.04.2025,2025-04-02,850817,2025-03-25 00:00:00,FLYWING CARGO,LBF240013950,2025-03-25 00:00:00,13.0,1404.0,VARDHMAN TEXTILES LTD,,GC,3310057903,ABFRL,SHIRT FABRIC,HOAS,AS,M,Woven,,,GRN Done,2025-04-05 00:00:00,Rakesh,8471.0,3.0,374.0,Pass,,146.0,,3.0,,Pass,1404.0,,2025-04-05,3,,,,,,Within TPT,,,,,,,,,2025-04-07 00:00:00,Plain,,0.0,Po Block
F320LRSH5345,2025-04-02,,,5005714678.0,2025-04-02,121 / 02.04.2025,2025-04-02,850825,2025-03-26 00:00:00,FLYWING CARGO,LBF240014030,2025-03-26 00:00:00,10.0,1042.0,VARDHMAN TEXTILES LTD,,GC,3310059908,ABFRL,SHIRT FABRIC,HOLP,LR,M,Woven,,,GRN Done,2025-04-05 00:00:00,Rakesh,8466.0,3.0,345.0,Pass,,145.0,,3.0,,Pass,1042.0,,2025-04-05,3,,,,,,Within TPT,,,,,,,,,2025-04-07 00:00:00,Plain,,0.0,Qty amend
F325LPSH4898,2025-04-02,,,5005711936.0,2025-04-02,89 / 02.04.2025,2025-04-02,897447,2025-03-27 00:00:00,FLYWING CARGO,SDI2442453,2025-03-26 00:00:00,11.0,938.0,ARVIND LTD,,GC,3310048978,ABFRL,SHIRT FABRIC,HOLP,LP,M,Woven,,,GRN Done,2025-04-05 00:00:00,Ujjwal,8037.0,3.0,250.0,Pass,,149.0,,1.0,,Pass,938.0,,2025-04-05,3,,,,,,Within TPT,,,,,,,,,2025-04-07 00:00:00,Print,,0.0,
F325LPSH4901,2025-04-02,,,5005711938.0,2025-04-02,87 / 02.04.2025,2025-04-02,897448,2025-03-27 00:00:00,FLYWING CARGO,SDI2442455,2025-03-26 00:00:00,8.0,1030.0,ARVIND LTD,,GC,3310048981,ABFRL,SHIRT FABRIC,HOLP,LP,M,Woven,,,GRN Done,2025-04-04 00:00:00,Ujjwal,8035.0,2.0,318.0,Pass,,149.0,,2.0,,Pass,1030.0,,2025-04-05,3,,,,,,Within TPT,,,,,,,,,2025-04-07 00:00:00,Print,,0.0,
