Plant,Brand,Product,Material,Description,Stock Qty,Bin NO,Updated Date
F006,AS,RMTLABEL,TBASMNLS0158N,AS REFLECTIVE AS SHIRT   SIZE-50,100,S0478,2025-03-14 00:00:00
F006,AS,RMTLABEL,TBASMNLS0159N,As Reverse Shirt 664 Size 38,229,S0532,2025-03-10 00:00:00
F006,AS,RMTLABEL,TBASMNLS0160N,As Reverse Shirt 664 Size 39,1630,S0532,2025-03-10 00:00:00
F006,AS,RMTLABEL,TBASMNLS0161N,As Reverse Shirt 664 Size 40,2410,S0532,2025-03-10 00:00:00
F006,AS,RMTLABEL,TBASMNLS0162N,As Reverse Shirt 664 Size 42,3316,S0532,2025-03-10 00:00:00
F006,AS,RMTLABEL,TBASMNLS0163N,As Reverse Shirt 664 Size 44,2119,S0532,2025-03-10 00:00:00
F006,AS,RMTLABEL,TBASMNLS0164N,As Reverse Shirt 664 Size 46,677,S0532,2025-03-10 00:00:00
F006,AS,RMPACKGNG,TBASOTH0266N,AS BTN TO BTN HOLDER 7CM X 2CMPLASTIC,31847,,
F006,AS,RMPACKGNG,TBASOTH0279N,AS Sizer  Navy Yellow 3,1710,,
F006,AS,RMPACKGNG,TBASOTH0281N,AS Sizer  Navy Yellow 4,1310,,
F006,AS,RMPACKGNG,TBASOTH0283N,AS Sizer  Navy Yellow 6,1068,,
F006,AS,RMPACKGNG,TBASOTH0285N,AS Sizer  Navy Yellow 8,1685,,
F006,AS,RMPACKGNG,TBASOTH0287N,AS Sizer  Navy Yellow 10,2630,,
F006,AS,RMPACKGNG,TBASOTH0289N,AS Sizer  Navy Yellow 12,3320,,
F006,AS,RMPACKGNG,TBASOTH0291N,AS Sizer  Navy Yellow 14,3460,,
F006,AS,RMPACKGNG,TBASOTH0293N,AS Sizer  Navy Yellow 16,2170,,
F006,AS,RMPACKGNG,TBASOTH0295N,AS Sizer  Navy Yellow 26,1200,,
F006,AS,RMPACKGNG,TBASOTH0297N,AS Sizer  Navy Yellow 27,1044,,
F006,AS,RMPACKGNG,TBASOTH0299N,AS Sizer  Navy Yellow 28,1655,,
F006,AS,RMPACKGNG,TBASOTH0301N,AS Sizer  Navy Yellow 29,610,,
F006,AS,RMPACKGNG,TBASOTH0303N,AS Sizer  Navy Yellow 30,29125,,
F006,AS,RMPACKGNG,TBASOTH0304N,AS Sizer  Navy Yellow 32,51375,,
F006,AS,RMPACKGNG,TBASOTH0305N,AS Sizer  Navy Yellow 34,59208,,
F006,AS,RMPACKGNG,TBASOTH0306N,AS Sizer  Navy Yellow 36,40819,,
F006,AS,RMPACKGNG,TBASOTH0307N,AS Sizer  Navy Yellow 38,26625,,
F006,AS,RMPACKGNG,TBASOTH0308N,AS Sizer  Navy Yellow 40,13188,,
F006,AS,RMPACKGNG,TBASOTH0309N,AS Sizer  Navy Yellow 42,900,,
F006,AS,RMPACKGNG,TBASOTH0310N,AS Sizer  Navy Yellow 44,732,,
F006,AS,RMPACKGNG,TBASOTH0311N,AS Sizer  Navy Yellow 46,950,,
F006,AS,RMPACKGNG,TBASOTH0312N,AS Sizer  Navy Yellow 48,1000,,
F006,AS,RMPACKGNG,TBASOTH0340N,ALLEN SOLLY BESPOKE KIMBLE circle size c,101696,,
F006,AS,RMPACKGNG,TBASOTH0341N,Back Support,758,,
F006,AS,RMTLEATHE,TBASPAT0011N,BLUE / GREY PATCH -100174,2969,,
F006,AS,RMTLEATHE,TBASPAT0013N,GREY PATCH -100176 HD,1600,,
F006,AS,RMTTAPE,TBASPAT0021N,AS Hanger Loop Triangular Loop  Navy,2000,,
F006,AS,RMTLEATHE,TBASPAT0025N,As PU PATCH Brown,2558,S0720,2025-02-21 00:00:00
F006,AS,RMTPYBAG,TBASPBB0030N,AS(12'' (L) x 9.75'' (w) x 2'' (G) x 2'',172041,,
F006,AS,RMTPYBAG,TBASPBB0035N,AS ( 15'' (L) x 15'' (w) x 2 '' (F) ),3235,,
F006,AS,RMTBADGES,TBASPL0002N,AS Logo Branded,453789,,
F006,AS,RMTLABEL,TBASPL0003N,AS Branding Label White mask,59356,,
F006,AS,RMTBUTTON,TBASSNA0003N,14line snap button,15250,,
F006,AS,RMTBUTTON,TBASSNA0011N,SNAP BUTTON   18L,45099,S0508/S0498/S0497/S0489/S0490,2025-03-03 00:00:00
F006,AS,RMTLABEL,TBASSPL0039N,AS 1920D248 BLU GEEST LABEL Topligjt,16190,S0656,2025-02-15 00:00:00
F006,AS,RMTLABEL,TBASSPL0049N,As U19201727 Allen Solly,20288,S0510,2025-03-03 00:00:00
F006,AS,RMTLABEL,TBASSPL0050N,As 2021U326 Placket label,1990,S0525,2025-03-08 00:00:00
F006,AS,RMTLABEL,TBASSPL0051N,As 2021U329 Placket label,76189,S0535,2025-03-10 00:00:00
F006,AS,RMTLABEL,TBASSPL0052N,As 2021U330 labelÂ  Placket label,5740,S1567,2025-02-22 00:00:00
F006,AS,RMTLABEL,TBASSPL0053N,As 2021U327 Placket label,9139,S0520,2025-03-03 00:00:00
F006,AS,RMTLABEL,TBASSPL0058N,As EDITION Gusset label 35,56798,S0625/S0635,2025-02-10 00:00:00
F006,AS,RMTLABEL,TBASSPL0076N,AS SHRT QR CODE label,85252,S0532,2025-03-10 00:00:00
F006,AS,RMTSTICKR,TBASSTI0023N,AS BBD SPECIAL STICKER,7932,,
F006,AS,RMTSTICKR,TBASSTI0038N,AS ABFRL IH BarCodStic45 100 WO BTM Cu,157100,,
F006,AS,RMTLABEL,TBASSZL0387N,lotus sutra size label 38,3630,S0653,2025-02-17 00:00:00
F006,AS,RMTLABEL,TBASSZL0389N,lotus sutra size label 40,1129,,
F006,AS,RMTLABEL,TBASSZL0390N,lotus sutra size label 42,1377,S0653,2025-02-17 00:00:00
F006,AS,RMTLABEL,TBASSZL0391N,lotus sutra size label 44,85,S0653,2025-02-17 00:00:00
F006,AS,RMTLABEL,TBASSZL0393N,lotus sutra size label 50,800,,
F006,AS,RMTLABEL,TBASSZL0394N,a studio size label 38,700,,
F006,AS,RMTLABEL,TBASSZL0397N,a studio size label 42,120,,
F006,AS,RMTLABEL,TBASSZL0398N,a studio size label 44,600,,
F006,AS,RMTLABEL,TBASSZL0399N,a studio size label 48,300,,
F006,AS,RMTLABEL,TBASSZL0401N,lotus sutra size label 46,732,,
F006,AS,RMTLABEL,TBASSZL0417N,As U259/2 40CM SIZE LABE,300,,
F006,AS,RMTLABEL,TBASSZL0418N,As 1718/797/111 size  40 Manohar,1493,S0519,2025-03-03 00:00:00
F006,AS,RMTLABEL,TBASSZL0426N,As U259/2 38CM SIZE LABE,545,,
F006,AS,RMTLABEL,TBASSZL0428N,As U259/2 42CM SIZE LABE,400,,
F006,AS,RMTLABEL,TBASSZL0429N,As U259/2 44CM SIZE LABE,300,,
F006,AS,RMTLABEL,TBASSZL0430N,As U259/2 46CM SIZE LABE,600,,
F006,AS,RMTLABEL,TBASSZL0433N,As 1718/797/111 size  38 Manohar,784,S0519,2025-03-03 00:00:00
F006,AS,RMTLABEL,TBASSZL0434N,As 1718/797/111 size  39 Manohar,1374,S0519,2025-03-03 00:00:00
F006,AS,RMTLABEL,TBASSZL0435N,As 1718/797/111 size  42 Manohar,2064,S0519,2025-03-03 00:00:00
F006,AS,RMTLABEL,TBASSZL0436N,As 1718/797/111 size  44 Manohar,1721,S0519,2025-03-03 00:00:00
F006,AS,RMTLABEL,TBASSZL0439N,As 1718/797/111 size  50 Manohar,500,S0519,2025-03-03 00:00:00
F006,AS,RMTLABEL,TBASSZL0464N,AS UNFORMAL LABEL SIZE 39,1012,,
F006,AS,RMTLABEL,TBASSZL0830N,AS EDITIN 1774 SPORTS SIZE 39,718,S0484,2025-03-13 00:00:00
F006,AS,RMTLABEL,TBASSZL0831N,AS EDITIN 1774 SPORTS SIZE 40,5934,S0488,2025-03-14 00:00:00
F006,AS,RMTLABEL,TBASSZL0832N,AS EDITIN 1774 SPORTS SIZE 42,8013,S0484,2025-03-13 00:00:00
F006,AS,RMTLABEL,TBASSZL0833N,AS EDITIN 1774 SPORTS SIZE 44,3904,S0488,2025-03-14 00:00:00
F006,AS,RMTLABEL,TBASSZL0834N,AS EDITIN 1774 SPORTS SIZE 46,2954,S0488,2025-03-14 00:00:00
F006,AS,RMTLABEL,TBASSZL0835N,AS EDITIN 1774 SPORTS SIZE 48,605,S0473,2025-03-14 00:00:00
F006,AS,RMTLABEL,TBASSZL0836N,AS EDITIN 1774 SPORTS SIZE 50,300,S0473,2025-03-14 00:00:00
F006,AS,RMTLABEL,TBASSZL1063N,As Bespoke Trouser Classic fit 42,300,S0664,2025-02-17 00:00:00
F006,AS,RMTLABEL,TBASSZL1064N,As Bespoke  Trouser Sharp fit 42,80,S0664,2025-02-17 00:00:00
F006,AS,RMTLABEL,TBASSZL1065N,As Bespoke  Trouser Slim fit 42,1300,S0664,2025-02-17 00:00:00
F006,AS,RMTTAGS,TBASSZT0010N,Size tab- 36 AS shirts Core,2643,,
F006,AS,RMTTAGS,TBASSZT0011N,Size Tab-38 AS shirts Core,21180,,
F006,AS,RMTTAGS,TBASSZT0012N,size tab- 39 AS shirts Core,20920,,
F006,AS,RMTTAGS,TBASSZT0014N,Size tab- 42 AS shirts Core,535,,
F006,AS,RMTTAGS,TBASSZT0015N,size tab- 44 AS shirt core,6663,,
F006,AS,RMTTAGS,TBASSZT0016N,Size tab- 46 AS shirts Core,3970,,
F006,AS,RMTTAGS,TBASTAG0434N,AS SEAMLESS,816,,
F006,AS,RMTTAGS,TBASTAG0436N,AS UNCRUSHABLES,8500,,
F006,AS,RMTTAGS,TBASTAG0462N,AS CLASSIC FIT 38 SIZE,3500,,
F006,AS,RMTTAGS,TBASTAG0463N,AS CLASSIC FIT 39 SIZE,41616,,
F006,AS,RMTTAGS,TBASTAG0464N,AS CLASSIC FIT 40 SIZE,52246,P0147,
F006,AS,RMTTAGS,TBASTAG0465N,As CLASSIC FIT 42 SIZE,57112,,
F006,AS,RMTTAGS,TBASTAG0466N,As CLASSIC FIT 44 SIZE,26917,,
F006,AS,RMTTAGS,TBASTAG0467N,As CLASSIC FIT 46 SIZE,2288,,
F006,AS,RMTTAGS,TBASTAG0468N,AS CLASSIC FIT 48 SIZE,62,,
F006,AS,RMTTAGS,TBASTAG0471N,AS Main Prime tag,1509,,
F006,AS,RMTTAGS,TBASTAG0476N,AS Generic Tag-Antiviral Finalized,5192,,
F006,AS,RMTTAGS,TBASTAG0477N,As Edition 1744 Tag,17900,,
F006,AS,RMTTAGS,TBASTAG0491N,AS TRS TAG SZ 38 Classic  tag,97,,
F006,AS,RMTTAGS,TBASTAG0492N,AS TRS TAG SZ 39 Classic  tag,3400,P0154,
F006,AS,RMTTAGS,TBASTAG0493N,AS TRS TAG SZ 40 Classic  tag,3702,P0154,
F006,AS,RMTTAGS,TBASTAG0494N,AS TRS TAG SZ 42 Classic  tag,3681,P0154,
F006,AS,RMTTAGS,TBASTAG0495N,AS TRS TAG SZ 44 Classic  tag,2344,,
F006,AS,RMTTAGS,TBASTAG0496N,AS TRS TAG SZ 46 Classic  tag,539,,
F006,AS,RMTTAGS,TBASTAG0497N,AS TRS TAG SZ 48 Classic  tag,505,,
F006,AS,RMTTAGS,TBASTAG0498N,AS TRS TAG SZ 50 Classic  tag,200,,
F006,AS,RMTTAGS,TBASTAG0499N,sharp fit collar size tag,8566,,
F006,AS,RMTTAGS,TBASTAG0500N,sharp fit collar size tag,3347,P0155,
F006,AS,RMTTAGS,TBASTAG0501N,sharp fit collar size tag,4343,P0155,
F006,AS,RMTTAGS,TBASTAG0502N,sharp fit collar size tag,3574,P0155,
F006,AS,RMTTAGS,TBASTAG0503N,sharp fit collar size tag,2683,P0155,
F006,AS,RMTTAGS,TBASTAG0504N,sharp fit collar size tag,6708,,
F006,AS,RMTTAGS,TBASTAG0505N,sharp fit collar size tag,8756,,
F006,AS,RMTTAGS,TBASTAG0506N,sharp fit collar size tag,9600,,
F006,AS,RMTTAGS,TBASTAG0507N,Bespoke swing tag,15600,,
F006,AS,RMTTAPE,TBASTAP0531N,Allen solly print on Lable  10mm Black,54796.99,S0513/S0521,2025-03-03 00:00:00
F006,AS,RMTTAPE,TBASTAP0534N,Knitted Tape 2,2995,,
F006,AS,RMTTSUPPR,TBASTPP0003N,AS Beskop Tissue Papper Printing,16341,,
F006,AS,RMTLABEL,TBASWCL0011N,AS T shirt Wash care Label,2100,S0470,2025-03-15 00:00:00
F006,AS,RMTLABEL,TBASWCL0014N,AS SHRT CARE LABEL SATIN PRINTED Cotton,3397,S0484,2025-03-13 00:00:00
F006,AS,RMTBADGES,TBATBAD0011N,AS MF 1819/613/98 MANOHARFILAMENT,2000,S0547,2025-03-10 00:00:00
F006,AS,RMTBADGES,TBATBAD0030N,AS MF 18 4851 54 Black silicon Badge 3.2,800,,
F006,AS,RMTBUTTON,TBATBTN0108N,Spring 14L,5434,,
