Supplier Name,"Fabric Type 
(YD / Solid / Print)",Brand,Sub Brand,"Month
(MMM-YY)",Fabric Code,Fabric Content,"Inward Date 
(DD-MMM-YYYY)",MIGO Date,PO No.,"Actual Received 
Quantity","Quantity Passed 
Without EC","Quantity Passed 
With EC","Quantity 
Rejected","Reason for Rejected Qty
(If any Qty rejected then Pls  mention the exact reason here)",Approved EC %,FRA Qty,"Inspection Date 
(DD-MMM-YY)","Inspection 
Report No.","PO Full Width
(cms)","Actual Full Width Avg
(cms)",Diffrence,"Cuttable Width
(cms)","Lowest 
Index","Average 
Index  ","Highest 
Index","Area of FRA
(Lab / VI / CSV / SG / WD)",FRA No.,"FRA Raised Date
(DD-MMM-YY)","FRA Sent Date
(DD-MMM-YY)","FRA Closed Date
(DD-MMM-YY)","Total Days 
(Taken for Closure)","Status 
(Clear / EC / RTS / Pending)","CSV 
(OK/NOT OK)",FRA Reason,Final Agreed Decision
Wujiang Deyi Fashions Cloths Co.Ltd,Solids,VHWW,VW,2025-04-02 00:00:00,F320VWSH5156,100% Cotton,2025-04-05,2025-04-05,3310051012,874.2,773.2,,101.0,Running shade,,874.2,2025-04-09,9098.0,144.0,150.0,6.0,146.0,7.0,8.0,10.0,VI,200007935,2025-04-10,2025-04-10,2025-04-18,7,Clear,OK,"Off shade,running shade",One roll -101 Mtrs RTS balance ok
Louvre Textile Co Ltd,Yarn Dyed,HOLP,LP,2025-04-02 00:00:00,F325LYSH6856,100% Cotton,2025-04-05,2025-04-05,3310048831,2796.2,,,2796.2,Streaky,,2796.2,2025-04-09,9161.0,137.0,152.0,15.0,148.0,9.0,14.0,17.0,VI,200007934,2025-04-10,2025-04-10,2025-04-16,5,RTS,OK,"Neps,streaky",RTS
Jiangu Pinytex Textile Dying,Solids,HOLP,LP,2025-04-02 00:00:00,F525LASH1231,100% Cotton,2025-04-07,2025-04-07,3310048823,1060.2,1060.2,,,,,1060.2,2025-04-09,9096.0,137.0,147.0,10.0,144.0,5.0,7.0,8.0,VI,200007930,2025-04-10,2025-04-10,2025-04-16,5,Clear,OK,Streaky,Approved accepted by Jothi sir
Lu Thai Textile Co Ltd,Yarn Dyed,HOLP,LP,2025-04-02 00:00:00,F325LPKP6198,100% Cotton,2025-04-05,2025-04-05,3310054070,1000.0,,1000.0,,GSM,1.0,1000.0,2025-04-09,7996.0,157.0,167.0,10.0,163.0,6.0,6.0,7.0,VI,200007931,2025-04-10,2025-04-10,2025-04-15,4,EC,OK,Lower GSM,GSM Approved with 1% EC
Jaydee Fabrics Ltd,Yarn Dyed,HOAS,AS,2025-04-02 00:00:00,F324ALSH5131,100% Cotton,2025-04-07,2025-04-07,3310057651,2154.0,2154.0,,,,,2154.0,2025-04-09,8701.0,140.0,151.0,11.0,147.0,9.0,13.0,16.0,VI,200007933,2025-04-10,2025-04-10,2025-04-10,0,Clear,OK,Neps,Approved accepted w/o EC
Jaydee Fabrics Ltd,Yarn Dyed,HOAS,AS,2025-04-02 00:00:00,F325ALSH1292,100% Cotton,2025-04-07,2025-04-07,3310057658,2174.5,2174.5,,,,,2174.5,2025-04-10,9099.0,140.0,149.0,9.0,146.0,14.0,19.0,23.0,VI,200007932,2025-04-10,2025-04-10,2025-04-12,2,Clear,OK,"Neps,streaky",After wash Approved Accepted w/o EC
Jaydee Fabrics Ltd,Solids,HOAS,AS,2025-04-02 00:00:00,F324ALSH4875,100% Cotton,2025-04-07,2025-04-07,3310057649,1475.0,,1475.0,,"Knots,slubs",5.0,1475.0,2025-04-10,8224.0,140.0,160.0,20.0,157.0,35.0,55.0,65.0,VI,200007778,2025-04-11,2025-04-11,2025-04-15,3,EC,OK,"Snarls,knots",Accepted with 5% EC for recut
Ankush Knitting Works Pvt Ltd,Solids,HOLP,LP,2025-04-02 00:00:00,F324LYSH3020,100% Cotton,2025-04-07,2025-04-07,3310048651,699.87,,,699.87,Soak test,,699.87,2025-04-10,8946.0,137.0,238.0,101.0,234.0,17.0,23.0,25.0,Lab / VI,200007893,2025-04-11,2025-04-11,2025-04-16,4,RTS,OK,"Streaky,lab soak test",RTS
Ankush Knitting Works Pvt Ltd,Solids,HOLP,LP,2025-04-02 00:00:00,F324LYSH3020,100% Cotton,2025-04-07,2025-04-07,3310048651,110.5,,,110.5,Soak test,,110.5,2025-04-10,8958.0,137.0,236.0,99.0,232.0,29.0,30.0,34.0,Lab / VI,200007902,2025-04-11,2025-04-11,2025-04-16,4,RTS,OK,"Streaky,holes,lab soak test",RTS
Ankush Knitting Works Pvt Ltd,Yarn Dyed,HOLP,LP,2025-04-02 00:00:00,F324LYSH2446,100% Cotton,2025-04-07,2025-04-07,3310054018,303.29,,303.29,,"Holes,warp line",2.0,303.29,2025-04-09,8938.0,144.0,234.0,90.0,230.0,17.0,26.0,37.0,VI,200007892,2025-04-11,2025-04-11,2025-04-16,4,EC,OK,"Holes,warp line",Accepted with 2% EC for recut
Ankush Knitting Works Pvt Ltd,Yarn Dyed,HOLP,LP,2025-04-02 00:00:00,F324LYSH2446,100% Cotton,2025-04-07,2025-04-07,3310054018,234.11,,234.11,,"Holes,warp line",2.0,234.11,2025-04-09,8938.0,144.0,234.0,90.0,230.0,17.0,26.0,37.0,VI,200007952,2025-04-11,2025-04-11,2025-04-16,4,EC,OK,"Holes,warp line",Accepted with 2% EC for recut
Ankush Knitting Works Pvt Ltd,Yarn Dyed,HOLP,LP,2025-04-02 00:00:00,F324LYSH2442,100% Cotton,2025-04-07,2025-04-07,3310054242,762.53,,762.53,,Cut pieces,1.0,762.53,2025-04-11,8953.0,144.0,234.0,90.0,230.0,9.0,23.0,35.0,VI,200007951,2025-04-11,2025-04-11,2025-04-16,4,EC,OK,"Holes,cut pieces",Accepted with 1% EC for recut
Jaydee Fabrics Ltd,Print,HOLP,LP,2025-04-02 00:00:00,F325LRSH4473,100% Cotton,2025-04-07,2025-04-07,3310048953,1457.3,1457.3,,,,,1457.3,2025-04-10,9166.0,137.0,148.0,11.0,145.0,6.0,10.0,16.0,VI,200007779,2025-04-11,2025-04-11,2025-04-21,7,Clear,OK,Streaky,Mock approved by brand
