Supplier Name,"Fabric Type 
(YD / Solid / Print)",Brand,Sub Brand,"Month
(MMM-YY)",Fabric Code,Fabric Content,"Inward Date 
(DD-MMM-YYYY)",MIGO Date,PO No.,"Actual Received 
Quantity","Quantity Passed 
Without EC","Quantity Passed 
With EC","Quantity 
Rejected","Reason for Rejected Qty
(If any Qty rejected then Pls  mention the exact reason here)",Approved EC %,FRA Qty,"Inspection Date 
(DD-MMM-YY)","Inspection 
Report No.","PO Full Width
(cms)","Actual Full Width Avg
(cms)",Diffrence,"Cuttable Width
(cms)","Lowest 
Index","Average 
Index  ","Highest 
Index","Area of FRA
(Lab / VI / CSV / SG / WD)",FRA No.,"FRA Raised Date
(DD-MMM-YY)","FRA Sent Date
(DD-MMM-YY)","FRA Closed Date
(DD-MMM-YY)","Total Days 
(Taken for Closure)","Status 
(Clear / EC / RTS / Pending)","CSV 
(OK/NOT OK)",FRA Reason,Final Agreed Decision
Arvind Ltd,Solids,HOLP,LP,2025-04-11 00:00:00,F323LPSH6044,100% Cotton,2025-04-02,2025-04-02,3310048430,1824.0,1788.25,,35.75,,,1824.0,2025-04-05,,137.0,158.0,,,,,,,400004716,2025-04-05,2025-04-05,2025-04-07,1,,OK,Mtrs shortage ,35.7 Mtrs short closed
Premier Fabrics Sourcing LLP,Solids,HOAS,AS,2025-04-12 00:00:00,F325ASSH7261,100% Cotton,2025-03-29,2025-03-29,3310058888,696.0,686.465,,9.534999999999968,,,696.0,2025-04-05,,140.0,147.0,,,,,,,400004715,2025-04-05,2025-04-05,2025-04-07,1,,OK,Mtrs shortage ,9.5 Mtrs short closed
Premier Spg & Wvg Mills Pvt Ltd,Solids,HOAS,AS,2025-04-14 00:00:00,F521ASSH9441,100% Cotton,2025-04-03,2025-04-03,3310055845,12896.0,12739.958,,156.04199999999946,,,12896.0,2025-04-07,,144.0,147.0,,,,,,,400004618,2025-04-07,2025-04-07,2025-04-08,1,,OK,Mtrs shortage ,156 Mtrs short closed
Premier Fabrics Sourcing LLP,Solids,HOAS,AS,2025-04-15 00:00:00,F525ABSH5785,100% Cotton,2025-04-03,2025-04-03,3310058679,309.0,297.134,,11.865999999999985,,,309.0,2025-04-08,,140.0,146.0,,,,,,,400004786,2025-04-08,2025-04-08,2025-04-08,0,,OK,Mtrs shortage ,11.8 Mtrs short closed
Premier Fabrics Sourcing LLP,Solids,HOAS,AS,2025-04-16 00:00:00,F525ABSH5771,100% Cotton,2025-04-03,2025-04-03,3310058703,300.0,296.31,,3.6899999999999977,,,300.0,2025-04-08,,140.0,147.0,,,,,,,400004787,2025-04-08,2025-04-08,2025-04-08,0,,OK,Mtrs shortage ,3.6 Mtrs short closed
Rajapalayam Pvt Ltd,Solids,HOLP,LP,2025-04-17 00:00:00,F523LRSH3917,100% Cotton,2025-04-04,2025-04-04,3310058998,879.9,866.438,,13.461999999999989,,,879.9,2025-04-08,,145.0,150.0,,,,,,,400004788,2025-04-08,2025-04-08,2025-04-08,2,,OK,Mtrs shortage ,13.4 Mtrs short closed
Rajapalayam Pvt Ltd,Solids,HOLP,LP,2025-04-18 00:00:00,F525LYSH4065,100% Cotton,2025-04-07,2025-04-07,3310052428,943.57,943.57,,0.0,,,943.57,2025-04-08,,151.0,148.0,,,,,,,400004820,2025-04-08,2025-04-08,2025-04-10,2,,OK,Less width,As per PI correct width received(Typo error).
Rajapalayam Pvt Ltd,Solids,HOLP,LP,2025-04-19 00:00:00,F525LYSH4411,100% Cotton,2025-04-07,2025-04-07,3310052446,983.71,983.71,,0.0,,,983.71,2025-04-08,,151.0,148.0,,,,,,,400004822,2025-04-08,2025-04-08,2025-04-10,2,,OK,Less width,As per PI correct width received(Typo error).
Arama Tessile,Solids,HOAS,AS,2025-04-20 00:00:00,F325ASSH6117,100% Cotton,2025-04-09,2025-04-09,3310051816,591.0,583.199,,7.801000000000045,,,591.0,2025-04-12,,138.0,145.0,,,,,,,400004756,2025-04-12,2025-04-12,2025-04-16,3,,OK,Mtrs shortage ,7.8 mtrs short closed
Arama Tessile,Solids,HOAS,AS,2025-04-21 00:00:00,F325ASSH6114,100% Cotton,2025-04-09,2025-04-09,3310051813,574.0,562.52,,11.480000000000018,,,574.0,2025-04-12,,138.0,145.0,,,,,,,400004757,2025-04-12,2025-04-12,2025-04-16,3,,OK,Mtrs shortage ,11.4 mtrs short closed
Arvind Ltd,Solids,HOLP,LP,2025-04-22 00:00:00,F325LPSH4894,100% Cotton,2025-04-09,2025-04-09,3310048975,819.0,802.62,,16.379999999999995,,,819.0,2025-04-12,,137.0,153.0,,,,,,,400004754,2025-04-12,2025-04-12,2025-04-15,1,,OK,Mtrs shortage ,16.3 mtrs short closed
Arvind Ltd,Solids,HOLP,LP,2025-04-23 00:00:00,F325LPSH4897,100% Cotton,2025-04-09,2025-04-09,3310048977,842.0,825.16,,16.840000000000032,,,842.0,2025-04-12,,137.0,152.0,,,,,,,400004753,2025-04-12,2025-04-12,2025-04-15,1,,OK,Mtrs shortage ,16.8 mtrs short closed
Auro Textiles,Solids,HOAS,AS,2025-04-24 00:00:00,F325ABSH131,100% Cotton,2025-04-10,2025-04-10,3310056525,2020.0,1870.0,,150.0,,,2020.0,2025-04-15,,142.0,150.0,,,,,,,400004872,2025-04-15,2025-04-15,2025-04-15,3,,OK,Bale Shortage ,150 mtrs short closed
Auro Textiles,Solids,HOLP,LP,2025-04-27 00:00:00,F324LYSH2176,100% Cotton,2025-04-10,2025-04-10,3310054224,711.0,711.0,,0.0,,,711.0,2025-04-15,,144.0,139.0,,,,,,,400004766,2025-04-15,2025-04-15,2025-04-15,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-04-29 00:00:00,F324LYSH2171,100% Cotton,2025-04-10,2025-04-10,3310054217,730.0,730.0,,0.0,,,730.0,2025-04-15,,144.0,137.0,,,,,,,400004698,2025-04-15,2025-04-15,2025-04-15,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-04-30 00:00:00,F525LYSH7112,100% Cotton,2025-04-10,2025-04-10,3310054271,723.0,723.0,,0.0,,,723.0,2025-04-15,,144.0,137.0,,,,,,,400004825,2025-04-15,2025-04-15,2025-04-15,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-05-01 00:00:00,F525LYSH7111,100% Cotton,2025-04-10,2025-04-10,3310054270,708.0,708.0,,0.0,,,708.0,2025-04-15,,144.0,138.0,,,,,,,400004861,2025-04-15,2025-04-15,2025-04-15,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-05-02 00:00:00,F525LYSH7106,100% Cotton,2025-04-10,2025-04-10,3310054263,703.0,703.0,,0.0,,,703.0,2025-04-15,,144.0,137.0,,,,,,,400004812,2025-04-15,2025-04-15,2025-04-16,1,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-05-03 00:00:00,F525LYSH7113,100% Cotton,2025-04-10,2025-04-10,3310054272,987.0,987.0,,0.0,,,987.0,2025-04-15,,144.0,137.0,,,,,,,400004814,2025-04-15,2025-04-15,2025-04-16,1,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-05-04 00:00:00,F525LYSH7108,100% Cotton,2025-04-10,2025-04-10,3310054266,1164.0,1164.0,,0.0,,,1164.0,2025-04-15,,144.0,137.0,,,,,,,400004813,2025-04-15,2025-04-15,2025-04-16,1,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-05-05 00:00:00,F525LYSH7099,100% Cotton,2025-04-10,2025-04-10,3310054256,947.0,947.0,,0.0,,,947.0,2025-04-16,,144.0,139.0,,,,,,,400004845,2025-04-16,2025-04-16,2025-04-16,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-05-06 00:00:00,F320LYSH2154,100% Cotton,2025-04-11,2025-04-11,3310054275,1050.0,1050.0,,0.0,,,1050.0,2025-04-16,,144.0,137.0,,,,,,,400004846,2025-04-16,2025-04-16,2025-04-16,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-05-08 00:00:00,F323LYSH1773,100% Cotton,2025-04-11,2025-04-11,3310054286,686.0,686.0,,0.0,,,686.0,2025-04-16,,144.0,137.0,,,,,,,400004844,2025-04-16,2025-04-16,2025-04-16,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-05-10 00:00:00,F523LYSH2694,100% Cotton,2025-04-10,2025-04-10,3310054228,568.0,568.0,,0.0,,,568.0,2025-04-16,,144.0,139.0,,,,,,,400004892,2025-04-16,2025-04-16,2025-04-17,1,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-05-11 00:00:00,F525LYSH7102,100% Cotton,2025-04-11,2025-04-11,3310054259,1007.0,1007.0,,0.0,,,1007.0,2025-04-16,,144.0,138.0,,,,,,,400004891,2025-04-16,2025-04-16,2025-04-17,1,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-05-12 00:00:00,F525LYSH7118,100% Cotton,2025-04-11,2025-04-11,3310054280,1177.0,1177.0,,0.0,,,1177.0,2025-04-16,,144.0,138.0,,,,,,,400004890,2025-04-16,2025-04-16,2025-04-17,1,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-05-13 00:00:00,F525LYSH7121,100% Cotton,2025-04-11,2025-04-11,3310054283,768.0,768.0,,0.0,,,768.0,2025-04-17,,144.0,139.0,,,,,,,400004835,2025-04-17,2025-04-17,2025-04-17,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-05-15 00:00:00,F324LYSH2170,100% Cotton,2025-04-11,2025-04-11,3310055741,379.0,379.0,,0.0,,,379.0,2025-04-18,,145.0,138.0,,,,,,,400004837,2025-04-18,2025-04-18,2025-04-18,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-05-17 00:00:00,F525LYSH7104,100% Cotton,2025-04-12,2025-04-12,3310054261,936.5,936.5,,0.0,,,936.5,2025-04-18,,144.0,137.0,,,,,,,400004875,2025-04-18,2025-04-18,2025-04-18,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-05-18 00:00:00,F525LYSH7129,100% Cotton,2025-04-12,2025-04-12,3310054290,745.0,745.0,,0.0,,,745.0,2025-04-18,,144.0,138.0,,,,,,,400004853,2025-04-18,2025-04-18,2025-04-18,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-05-19 00:00:00,F525LYSH7105,100% Cotton,2025-04-12,2025-04-12,3310054262,642.0,642.0,,0.0,,,642.0,2025-04-18,,144.0,138.0,,,,,,,400004852,2025-04-18,2025-04-18,2025-04-18,0,,OK,Less width,As per PI correct width received(Typo error).
W F B Baird & Company (India),Solids,HOAS,AS,2025-05-21 00:00:00,F325ASSH6056,100% Cotton,2025-04-15,2025-04-15,3310053656,823.315,811.774,,11.541000000000054,,,823.315,2025-04-21,,147.0,150.0,,,,,,,400004829,2025-04-21,2025-04-21,2025-04-22,1,,OK,Mtrs shortage ,11.5 Mtrs short closed
Auro Textiles,Solids,HOLP,LP,2025-05-22 00:00:00,F324LYSH2171,100% Cotton,2025-04-15,2025-04-15,3310054219,757.0,757.0,,0.0,,,757.0,2025-04-21,,144.0,137.0,,,,,,,400004865,2025-04-21,2025-04-21,2025-04-21,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-05-23 00:00:00,F324LYSH2171,100% Cotton,2025-04-17,2025-04-17,3310054218,334.0,334.0,,0.0,,,334.0,2025-04-21,,144.0,137.0,,,,,,,400004798,2025-04-21,2025-04-21,2025-04-22,1,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-05-24 00:00:00,F525LYSH7115,100% Cotton,2025-04-17,2025-04-17,3310054277,754.0,754.0,,0.0,,,754.0,2025-04-22,,144.0,138.0,,,,,,,400004867,2025-04-22,2025-04-22,2025-04-22,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-05-25 00:00:00,F525LYSH7126,100% Cotton,2025-04-18,2025-04-18,3310054287,1041.0,1041.0,,0.0,,,1041.0,2025-04-23,,144.0,138.0,,,,,,,400004931,2025-04-23,2025-04-23,2025-04-23,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-05-26 00:00:00,F525LYSH7125,100% Cotton,2025-04-18,2025-04-18,3310054285,1058.0,1058.0,,0.0,,,1058.0,2025-04-23,,144.0,137.0,,,,,,,400004930,2025-04-23,2025-04-23,2025-04-23,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-05-27 00:00:00,F521LYSH8526,100% Cotton,2025-04-17,2025-04-17,3310054227,149.0,149.0,,0.0,,,149.0,2025-04-23,,144.0,138.5,,,,,,,400004877,2025-04-23,2025-04-23,2025-04-23,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-05-28 00:00:00,F523LYSH2694,100% Cotton,2025-04-17,2025-04-17,3310054229,310.0,310.0,,0.0,,,310.0,2025-04-23,,144.0,138.5,,,,,,,400004876,2025-04-23,2025-04-23,2025-04-23,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-05-29 00:00:00,F324LYSH2175,100% Cotton,2025-04-17,2025-04-17,3310054220,727.0,727.0,,0.0,,,727.0,2025-04-23,,144.0,138.0,,,,,,,400004940,2025-04-23,2025-04-23,2025-04-23,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-06-01 00:00:00,F324LYSH2170,100% Cotton,2025-04-17,2025-04-17,3310055742,766.0,766.0,,0.0,,,766.0,2025-04-24,,144.0,138.0,,,,,,,400004818,2025-04-24,2025-04-24,2025-04-24,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-06-02 00:00:00,F324LYSH2175,100% Cotton,2025-04-18,2025-04-18,3310054223,755.0,755.0,,0.0,,,755.0,2025-04-24,,144.0,138.0,,,,,,,400004878,2025-04-24,2025-04-24,2025-04-24,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-06-03 00:00:00,F523LYSH2694,100% Cotton,2025-04-17,2025-04-17,3310054230,759.0,759.0,,0.0,,,759.0,2025-04-24,,144.0,138.0,,,,,,,400004817,2025-04-24,2025-04-24,2025-04-24,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-06-04 00:00:00,F521LYSH8526,100% Cotton,2025-04-17,2025-04-17,3310050689,591.0,591.0,,0.0,,,591.0,2025-04-24,,144.0,139.0,,,,,,,400004961,2025-04-24,2025-04-24,2025-04-24,0,,OK,Less width,As per PI correct width received(Typo error).
Arvind Ltd,Solids,HOLP,LP,2025-06-05 00:00:00,F325LRSH6844,100% Cotton,2025-04-17,2025-04-17,3310048707,1048.0,1028.926,,19.07400000000007,,,1048.0,2025-04-24,,137.0,147.0,,,,,,,400004819,2025-04-24,2025-04-24,2025-04-25,1,,OK,Mtrs shortage ,19 Mtrs short closed
Auro Textiles,Solids,HOLP,LP,2025-06-06 00:00:00,F324LYSH2167,100% Cotton,2025-04-19,2025-04-19,3310056146,726.0,726.0,,0.0,,,726.0,2025-04-25,,145.0,138.0,,,,,,,400004971,2025-04-25,2025-04-25,2025-04-25,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-06-07 00:00:00,F525LYSH7107,100% Cotton,2025-04-17,2025-04-17,3310054265,735.0,735.0,,0.0,,,735.0,2025-04-25,,144.0,138.0,,,,,,,400004981,2025-04-25,2025-04-25,2025-04-25,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-06-08 00:00:00,F323LYSH1773,100% Cotton,2025-04-17,2025-04-17,3310054297,320.0,320.0,,0.0,,,320.0,2025-04-25,,144.0,138.0,,,,,,,400004982,2025-04-25,2025-04-25,2025-04-25,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-06-09 00:00:00,F323LYSH1773,100% Cotton,2025-04-17,2025-04-17,3310054297,756.0,756.0,,0.0,,,756.0,2025-04-25,,144.0,138.0,,,,,,,400004983,2025-04-25,2025-04-25,2025-04-25,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-06-10 00:00:00,F324LYSH2176,100% Cotton,2025-04-17,2025-04-17,3310054297,330.0,330.0,,0.0,,,330.0,2025-04-25,,144.0,138.0,,,,,,,400004985,2025-04-25,2025-04-25,2025-04-25,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-06-12 00:00:00,F525LYSH7110,100% Cotton,2025-04-17,2025-04-17,3310054269,765.0,765.0,,0.0,,,765.0,2025-04-25,,144.0,138.0,,,,,,,400004951,2025-04-25,2025-04-25,2025-04-25,0,,OK,Less width,As per PI correct width received(Typo error).
Nsl Textiles Limited,Solids,HOAS,AS,2025-06-14 00:00:00,F325ABSH6233,100% Cotton,2025-04-19,2025-04-19,3310052189,434.0,428.749,,5.250999999999976,,,434.0,2025-04-26,,139.0,142.0,,,,,,,400004975,2025-04-26,2025-04-26,2025-04-26,0,,OK,Mtrs shortage ,5.2 Mtrs short closed
SJK Trading India Pvt Ltd,Solids,HOAS,AS,2025-06-15 00:00:00,F525ASSH6753,100% Cotton,2025-04-22,2025-04-22,3310061535,558.3,533.679,,24.62099999999998,,,558.3,2025-04-26,,140.0,120.0,,,,,,,400004972,2025-04-26,2025-04-26,2025-04-28,1,,OK,"Mtrs shortage,Less width",24.6 mtrs short closed
SJK Trading India Pvt Ltd,Solids,HOAS,AS,2025-06-16 00:00:00,F525ASSH6599,100% Cotton,2025-04-22,2025-04-22,3310061579,1015.1,991.651,,23.44900000000007,,,1015.1,2025-04-26,,140.0,158.0,,,,,,,400004974,2025-04-26,2025-04-26,2025-04-26,0,,OK,Mtrs shortage ,23.4 Mtrs short closed
SJK Trading India Pvt Ltd,Solids,HOAS,AS,2025-06-17 00:00:00,F525ASSH6579,100% Cotton,2025-04-22,2025-04-22,3310061559,345.4,324.676,,20.72399999999999,,,345.4,2025-04-26,,140.0,154.0,,,,,,,400004973,2025-04-26,2025-04-26,2025-04-26,0,,OK,Mtrs shortage ,20.7 Mtrs short closed
SJK Trading India Pvt Ltd,Solids,HOAS,AS,2025-06-18 00:00:00,F525ASSH6580,100% Cotton,2025-04-22,2025-04-22,3310061560,380.0,374.148,,5.851999999999975,,,380.0,2025-04-26,,140.0,156.0,,,,,,,400004965,2025-04-26,2025-04-26,2025-04-26,0,,OK,Mtrs shortage ,5.8 Mtrs short closed
Arvind Ltd,Solids,HOLP,LP,2025-06-21 00:00:00,F325LRSH5434,100% Cotton,2025-04-23,2025-04-23,3310048597,1203.0,1184.113,,18.886999999999944,,,1203.0,2025-04-26,,137.0,152.0,,,,,,,400004942,2025-04-26,2025-04-26,2025-04-28,1,,OK,Mtrs shortage ,18.8 mtrs short closed
Auro Textiles,Solids,HOAS,AS,2025-06-23 00:00:00,F325AOSH5832,100% Cotton,2025-04-24,2025-04-24,3310057573,1936.0,1936.0,,0.0,,,1936.0,2025-04-28,,140.0,137.0,,,,,,,400004976,2025-04-28,2025-04-28,2025-04-28,0,,OK,Less width,As per PI correct width received(Typo error).
Premier Fabrics Sourcing LLP,Solids,HOAS,AS,2025-06-24 00:00:00,F525ASSH6860,100% Cotton,2025-04-23,2025-04-23,3310061573,893.0,878.087,,14.913000000000011,,,893.0,2025-04-28,,140.0,146.0,,,,,,,400004809,2025-04-28,2025-04-28,2025-04-28,0,,OK,Mtrs shortage ,14.9 Mtrs short closed
Premier Fabrics Sourcing LLP,Solids,HOAS,AS,2025-06-25 00:00:00,F525ASSH6861,100% Cotton,2025-04-23,2025-04-23,3310061584,894.0,878.623,,15.376999999999953,,,894.0,2025-04-28,,140.0,147.0,,,,,,,400005000,2025-04-28,2025-04-28,2025-04-28,0,,OK,Mtrs shortage ,15.3 Mtrs short closed
Auro Textiles,Solids,HOAS,AS,2025-06-26 00:00:00,F325AOSH5830,100% Cotton,2025-04-24,2025-04-24,3310057595,1052.0,1052.0,,0.0,,,1052.0,2025-04-29,,140.0,137.0,,,,,,,400004993,2025-04-29,2025-04-29,2025-04-29,0,,OK,Less width,As per PI correct width received(Typo error).
Premier Fabrics Sourcing LLP,Solids,HOAS,AS,2025-06-27 00:00:00,F525ASSH6872,100% Cotton,2025-04-23,2025-04-23,3310061511,1005.0,984.599,,20.400999999999954,,,1005.0,2025-04-29,,140.0,143.0,,,,,,,400004995,2025-04-29,2025-04-29,2025-04-29,0,,OK,Mtrs shortage ,20.4 Mtrs short closed
Auro Textiles,Solids,HOAS,AS,2025-06-28 00:00:00,F325AOSH5835,100% Cotton,2025-04-24,2025-04-24,3310057540,1405.0,1405.0,,0.0,,,1405.0,2025-04-29,,140.0,136.0,,,,,,,400004994,2025-04-29,2025-04-29,2025-04-29,0,,OK,Less width,As per PI correct width received(Typo error).
SJK Trading India Pvt Ltd,Solids,HOAS,AS,2025-06-29 00:00:00,F525ASSH6607,100% Cotton,2025-04-24,2025-04-24,3310061588,902.7,902.7,,0.0,,,902.7,2025-04-29,,140.0,136.0,,,,,,,400004977,2025-04-29,2025-04-29,2025-04-30,0,,OK,Less width,Initial commitment SAP width  134
Auro Textiles,Solids,HOLP,LP,2025-06-30 00:00:00,F525LYSH7119,100% Cotton,2025-04-25,2025-04-25,3310054281,895.0,895.0,,0.0,,,895.0,2025-04-30,,144.0,137.0,,,,,,,400005004,2025-04-30,2025-04-30,2025-04-30,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-07-01 00:00:00,F525LYSH5573,100% Cotton,2025-04-25,2025-04-25,3310054254,762.0,762.0,,0.0,,,762.0,2025-04-30,,144.0,139.0,,,,,,,400005006,2025-04-30,2025-04-30,2025-04-30,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-07-02 00:00:00,F525LYSH5572,100% Cotton,2025-04-26,2025-04-26,3310054251,2487.0,2487.0,,0.0,,,2487.0,2025-04-30,,144.0,138.0,,,,,,,400005003,2025-04-30,2025-04-30,2025-04-30,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-07-03 00:00:00,F525LYSH5573,100% Cotton,2025-04-26,2025-04-26,3310054255,890.0,890.0,,0.0,,,890.0,2025-04-30,,144.0,137.0,,,,,,,400005005,2025-04-30,2025-04-30,2025-04-30,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-07-04 00:00:00,F525LYSH7120,100% Cotton,2025-04-23,2025-04-23,3310054282,1262.0,1262.0,,0.0,,,1262.0,2025-04-30,,144.0,138.0,,,,,,,400004966,2025-04-30,2025-04-30,2025-04-30,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-07-05 00:00:00,F525LYSH5550,100% Cotton,2025-04-25,2025-04-25,3310054243,332.0,332.0,,0.0,,,332.0,2025-04-30,,144.0,137.0,,,,,,,400004968,2025-04-30,2025-04-30,2025-04-30,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-07-06 00:00:00,F525LYSH5570,100% Cotton,2025-04-25,2025-04-25,3310054249,1093.0,1093.0,,0.0,,,1093.0,2025-04-30,,144.0,138.0,,,,,,,400005011,2025-04-30,2025-04-30,2025-04-30,0,,OK,Less width,As per PI correct width received(Typo error).
Auro Textiles,Solids,HOLP,LP,2025-07-07 00:00:00,F525LYSH5569,100% Cotton,2025-04-26,2025-04-26,3310054248,1023.0,1023.0,,0.0,,,1023.0,2025-04-30,,144.0,138.0,,,,,,,400005010,2025-04-30,2025-04-30,2025-04-30,0,,OK,Less width,As per PI correct width received(Typo error).
SNSM Textiles,Yarn dyed,Super Dry,Super Dry,Apr,FYSDSH1794E,100% COTTON,2025-04-02,2025-04-02,3320005310,1697.4,,1697.4,,,,1697.4,2025-04-04,,53.0,57.874015748031496,4.874015748031496,,,,,,200007773,2025-04-04,2025-04-04,2025-04-04,0,EC,OK,Snarls,Accepted with 2% EC for recut
SNSM Textiles,Yarn dyed,Super Dry,Super Dry,Apr,FYSDSH1787E,100% COTTON,2025-04-02,2025-04-02,3320005310,2377.9,,2377.9,,,,2377.9,2025-04-04,,53.0,57.874015748031496,4.874015748031496,,,,,,200007774,2025-04-04,2025-04-04,2025-04-04,0,EC,OK,"Snarls,broken end",Accepted with 3% EC for recut
SNSM Textiles,Yarn dyed,Super Dry,Super Dry,Apr,FYSDSH1740E,100% COTTON,2025-04-04,2025-04-04,3320005310,502.6,,502.6,,,,502.6,2025-04-05,,53.0,58.26771653543307,5.267716535433067,,,,,,200007868,2025-04-07,2025-04-07,2025-04-12,4,EC,OK,"Snarls,warp line",Accepted with 3% EC for recut
Arthanari Loom Centre Textile,Yarn dyed,Super Dry,Super Dry,Apr,FYSDSH1807E,100% COTTON,2025-04-07,2025-04-07,3320004863,2495.4,2495.4,,,,,2495.4,2025-04-07,,57.0,56.29921259842519,-0.7007874015748072,,,,,,200007916,2025-04-08,2025-04-08,2025-04-10,2,Clear,OK,"Folding mark,neps,contamination",As discussed mending or replace the panels
Arthanari Loom Centre Textile,Yarn dyed,Super Dry,Super Dry,Apr,FYSDSH1810E,100% COTTON,2025-04-07,2025-04-07,3320004863,2491.0,2491.0,,,,,2491.0,2025-04-07,,57.0,56.69291338582677,-0.3070866141732296,,,,,,200007915,2025-04-08,2025-04-08,2025-04-10,2,Clear,OK,"Folding mark,neps,width variation",As discussed mending or replace the panels
Arthanari Loom Centre Textile,Yarn dyed,Super Dry,Super Dry,Apr,FYSDSH1808E,100% COTTON,2025-04-07,2025-04-07,3320004863,2474.7,2474.7,,,,,2474.7,2025-04-08,,57.0,56.69291338582677,-0.3070866141732296,,,,,,200007914,2025-04-08,2025-04-08,2025-04-10,2,Clear,OK,"Folding mark,neps,stop mark",As discussed mending or replace the panels
GM Exports,Yarn dyed,Marco Polo,Marco Polo,Apr,FYMPSH3318E,100% COTTON,2025-04-09,2025-04-09,3320005234,986.4,986.4,,,,,986.4,2025-04-11,,56.0,56.69291338582677,0.6929133858267704,,,,,,200007961,2025-04-12,2025-04-12,2025-04-17,3,Clear,OK,"Floding crease mark,width univen",Folding Crease after anti crease wash ok - cut Minimum width
GM Exports,Yarn dyed,Marco Polo,Marco Polo,Apr,FYMPSH3319E,100% COTTON,2025-04-10,2025-04-10,3320005234,608.7,608.7,,,,,608.7,2025-04-15,,56.0,56.69291338582677,0.6929133858267704,,,,,,200007984,2025-04-15,2025-04-15,2025-04-17,2,Clear,OK,Floding crease mark,Folding Crease after anti crease wash ok - Knots will pull the inside
GM Exports,Yarn dyed,Marco Polo,Marco Polo,Apr,FYMPSH3319E,100% COTTON,2025-04-11,2025-04-11,3320005234,722.0,722.0,,,,,722.0,2025-04-15,,56.0,56.69291338582677,0.6929133858267704,,,,,,200007985,2025-04-15,2025-04-15,2025-04-17,2,Clear,OK,"Floding crease mark,knots",Folding Crease after anti crease wash ok - Knots will pull the inside
